         _id            timestamp  ... device  label
13241  13242  2019-07-21 21:24:36  ...  Watch       
13242  13243  2019-07-21 21:25:37  ...  Watch       
13243  13244  2019-07-21 21:26:39  ...  Watch       
13244  13245  2019-07-21 21:27:41  ...  Watch       
13245  13246  2019-07-21 21:28:43  ...  Watch       
13246  13247  2019-07-21 21:29:03  ...  Watch       
13247  13248  2019-07-21 21:30:15  ...  Watch       
13248  13249  2019-07-21 21:31:01  ...  Watch       
13249  13250  2019-07-21 21:32:02  ...  Watch       
13250  13251  2019-07-21 21:33:04  ...  Watch       
13251  13252  2019-07-21 21:33:56  ...  Watch       
13252  13253  2019-07-21 21:34:47  ...  Watch       
13253  13254  2019-07-21 21:36:09  ...  Watch       
13254  13255  2019-07-21 21:37:11  ...  Watch       
13255  13256  2019-07-21 21:37:55  ...  Watch       
13256  13257  2019-07-21 21:38:56  ...  Watch       
13257  13258  2019-07-21 21:39:58  ...  Watch       
13258  13259  2019-07-21 21:40:08  ...  Watch       
13259  13260  2019-07-21 21:41:20  ...  Watch       
13260  13261  2019-07-21 21:42:22  ...  Watch       
13261  13262  2019-07-21 21:43:24  ...  Watch       
13262  13263  2019-07-21 21:43:55  ...  Watch       
13263  13264  2019-07-21 21:44:46  ...  Watch       
13264  13265  2019-07-21 21:45:48  ...  Watch       
13265  13266  2019-07-21 21:45:58  ...  Watch       
13266  13267  2019-07-21 21:47:00  ...  Watch       
13267  13268  2019-07-21 21:48:02  ...  Watch       
13268  13269  2019-07-21 21:49:14  ...  Watch       
13269  13270  2019-07-21 21:50:16  ...  Watch       
13270  13271  2019-07-21 21:50:47  ...  Watch       
...      ...                  ...  ...    ...    ...
15989  15990  2019-07-24 12:58:13  ...  Watch       
15990  15991  2019-07-24 12:59:05  ...  Watch       
15991  15992  2019-07-24 13:00:07  ...  Watch       
15992  15993  2019-07-24 13:01:09  ...  Watch       
15993  15994  2019-07-24 13:04:35  ...  Watch       
15994  15995  2019-07-24 13:05:37  ...  Watch       
15995  15996  2019-07-24 13:06:28  ...  Watch       
15996  15997  2019-07-24 13:07:20  ...  Watch       
15997  15998  2019-07-24 13:08:21  ...  Watch       
15998  15999  2019-07-24 13:09:23  ...  Watch       
15999  16000  2019-07-24 13:19:27  ...  Watch       
16000  16001  2019-07-24 13:20:29  ...  Watch       
16001  16002  2019-07-24 13:22:23  ...  Watch       
16002  16003  2019-07-24 13:19:27  ...  Watch       
16003  16004  2019-07-24 13:20:29  ...  Watch       
16004  16005  2019-07-24 13:22:23  ...  Watch       
16005  16006  2019-07-24 13:23:24  ...  Watch       
16006  16007  2019-07-24 13:24:26  ...  Watch       
16007  16008  2019-07-24 13:25:28  ...  Watch       
16008  16009  2019-07-24 13:26:30  ...  Watch       
16009  16010  2019-07-24 13:27:32  ...  Watch       
16010  16011  2019-07-24 13:28:23  ...  Watch       
16011  16012  2019-07-24 13:29:15  ...  Watch       
16016  16017  2019-07-24 13:30:17  ...  Watch       
16017  16018  2019-07-24 13:31:19  ...  Watch       
16018  16019  2019-07-24 13:32:21  ...  Watch       
16019  16020  2019-07-24 13:33:22  ...  Watch       
16020  16021  2019-07-24 13:34:24  ...  Watch       
16021  16022  2019-07-24 13:35:26  ...  Watch       
16022  16023  2019-07-24 13:36:28  ...  Watch       

[2778 rows x 9 columns] 


         _id            timestamp  ... device  label
12188  12189  2019-07-21 14:02:46  ...  Watch       
12189  12190  2019-07-21 15:02:46  ...  Watch       
12190  12191  2019-07-21 16:02:46  ...  Watch       
12191  12192  2019-07-21 17:02:46  ...  Watch       
12192  12193  2019-07-21 18:02:46  ...  Watch       
12193  12194  2019-07-21 19:02:46  ...  Watch       
12194  12195  2019-07-21 20:02:46  ...  Watch       
12195  12196  2019-07-21 21:02:46  ...  Watch       
12196  12197  2019-07-21 21:24:36  ...  Watch       
12197  12198  2019-07-21 21:39:37  ...  Watch       
12198  12199  2019-07-21 21:54:43  ...  Watch       
12199  12200  2019-07-21 22:09:49  ...  Watch       
12200  12201  2019-07-21 22:24:54  ...  Watch       
12201  12202  2019-07-21 22:40:00  ...  Watch       
12202  12203  2019-07-21 22:55:06  ...  Watch       
12203  12204  2019-07-21 23:10:12  ...  Watch       
12204  12205  2019-07-21 23:12:26  ...  Watch       
12205  12206  2019-07-22 00:12:26  ...  Watch       
12206  12207  2019-07-22 00:36:43  ...  Watch       
12207  12208  2019-07-22 00:52:00  ...  Watch       
12208  12209  2019-07-22 01:07:06  ...  Watch       
12209  12210  2019-07-22 01:22:13  ...  Watch       
