,,,,,(Outside Air Damper Position %),
Date,UMBRS_1.DELTAV.Air Handling.ALUMNI_AH1.Return T,Status,UMBRS_1.DELTAV.Air Handling.ALUMNI_AH1.Supply T,Status,UMBRS_1.DELTAV.00009461,Status
 8/21/2018  11:05:14 AM,71.20261929,OK,56.08857997,OK,100,OK
 8/21/2018  11:06:14 AM,71.20799793,OK,56.07176102,OK,100,OK
 8/21/2018  11:07:14 AM,71.22095441,OK,56.06968997,OK,100,OK
 8/21/2018  11:08:14 AM,71.22768738,OK,56.08969091,OK,100,OK
 8/21/2018  11:09:14 AM,71.22982981,OK,56.11482708,OK,100,OK
 8/21/2018  11:10:14 AM,71.24271091,OK,56.12452525,OK,100,OK
 8/21/2018  11:11:14 AM,71.27059181,OK,56.09805065,OK,100,OK
 8/21/2018  11:12:14 AM,71.3001115,OK,56.05348493,OK,100,OK
 8/21/2018  11:13:14 AM,71.31829457,OK,55.99563031,OK,100,OK
 8/21/2018  11:14:14 AM,71.33506215,OK,55.90608156,OK,100,OK
 8/21/2018  11:15:14 AM,71.34342298,OK,55.82553609,OK,100,OK
 8/21/2018  11:16:14 AM,71.34538488,OK,55.76339316,OK,100,OK
 8/21/2018  11:17:14 AM,71.36797748,OK,55.72101475,OK,100,OK
 8/21/2018  11:18:14 AM,71.38682105,OK,55.69284091,OK,100,OK
 8/21/2018  11:19:14 AM,71.42521167,OK,55.67735494,OK,100,OK
 8/21/2018  11:20:14 AM,71.44870501,OK,55.69074451,OK,100,OK
 8/21/2018  11:21:14 AM,71.45935527,OK,55.72823852,OK,100,OK
 8/21/2018  11:22:14 AM,71.47175493,OK,55.78285826,OK,100,OK
 8/21/2018  11:23:14 AM,71.48030133,OK,55.87433297,OK,100,OK
 8/21/2018  11:24:14 AM,71.49032644,OK,55.99408941,OK,100,OK
 8/21/2018  11:25:14 AM,71.52435891,OK,56.12079527,OK,100,OK
 8/21/2018  11:26:14 AM,71.5463514,OK,56.26363357,OK,100,OK
 8/21/2018  11:27:14 AM,71.56479743,OK,56.39080633,OK,100,OK
 8/21/2018  11:28:14 AM,71.5748645,OK,56.48532917,OK,100,OK
 8/21/2018  11:29:14 AM,71.57184572,OK,56.52883856,OK,100,OK
 8/21/2018  11:30:14 AM,71.57420451,OK,56.51058478,OK,100,OK
 8/21/2018  11:31:14 AM,71.58487727,OK,56.43031318,OK,100,OK
 8/21/2018  11:32:14 AM,71.59843459,OK,56.30834117,OK,100,OK
 8/21/2018  11:33:14 AM,71.60203263,OK,56.13113046,OK,100,OK
 8/21/2018  11:34:14 AM,71.60406326,OK,55.966447,OK,100,OK
 8/21/2018  11:35:14 AM,71.6166505,OK,55.81912343,OK,100,OK
 8/21/2018  11:36:14 AM,71.62210271,OK,55.71513739,OK,100,OK
 8/21/2018  11:37:14 AM,71.63196036,OK,55.65355824,OK,100,OK
 8/21/2018  11:38:14 AM,71.64120917,OK,55.63093969,OK,100,OK
 8/21/2018  11:39:14 AM,71.64792552,OK,55.64306159,OK,100,OK
 8/21/2018  11:40:14 AM,71.65815449,OK,55.69397163,OK,100,OK
 8/21/2018  11:41:14 AM,71.67464616,OK,55.7806873,OK,100,OK
 8/21/2018  11:42:14 AM,71.69968047,OK,55.8986586,OK,100,OK
 8/21/2018  11:43:14 AM,71.71106331,OK,56.06239867,OK,100,OK
